First name;Gender;Age;Salary;loaned_sum;Period;Interest rate;DAE;Monthly payment;Total_amount;Score;Eligibility
Corilla;Female;52;2768;32088;3;9,75;11,76;900,7408408;35232,54481;37;no
Rene;Male;40;7660;46723;1;9,75;14,76;3931,963732;51036,31686;63;yes
Shoshanna;Female;58;2329;114999;1;8,99;14;9661,510654;125081,918;43;no
Velvet;Female;44;10390;40038;1;9,75;14,76;3370,390577;43787,37712;83;yes
Nichols;Male;30;11124;100952;1;8,99;14;8482,222911;109848,7095;93;yes
Jeana;Female;38;4483;53222;5;8,99;11;895,3604165;58324,92251;50;no
Zebedee;Male;41;10365;96970;1;8,99;14;8147,922078;105530,4468;93;yes
Tait;Male;27;5159;110718;5;8,99;11;1855,060738;120932,0334;50;no
Blakelee;Female;19;9097;119571;3;8,99;11;3336,690321;130306,0125;87;yes
Tildi;Female;50;5429;78102;4;8,99;11;1637,166773;85329,75528;49;no
Egan;Male;34;11393;60620;2;8,99;12;2542,259376;66178,27679;95;yes
Kirk;Male;35;11877;69818;2;8,99;12;2926,939609;76163,23953;95;yes
Leicester;Male;26;3011;15587;4;10,49;12,5;332,4372877;17317,22649;29;no
Carlina;Female;29;3132;56438;1;8,99;14;4745,139221;61575,69448;43;no
Lindsay;Male;52;1333;45903;1;9,75;14,76;3863,079665;50147,1425;33;no
Laureen;Female;27;8608;9722;1;10,49;15,5;824,1874998;10913,30871;63;yes
Arvie;Male;32;11897;92324;1;8,99;14;7757,876456;100492,1122;93;yes
Brittaney;Female;33;10515;53433;4;8,99;11;1122,26851;58495,24333;99;yes
Lutero;Male;19;7893;67411;5;8,99;11;1132,197551;73775,25464;80;yes
Daven;Male;36;11962;64666;3;8,99;11;1807,752309;70642,3756;97;yes
Reinald;Male;20;1389;38998;2;9,75;12,76;1638,491182;42699,64173;35;no
Arther;Male;26;8291;95065;4;8,99;11;1991,223249;103781,8136;89;yes
Marleah;Female;42;8162;26383;2;9,75;12,76;1110,73947;29007,51481;75;yes
Kellia;Female;42;8412;67648;5;8,99;11;1136,15346;74033,32277;90;yes
Kandace;Female;57;5712;115107;2;8,99;12;4821,02344;125327,077;45;no
Lucius;Male;22;4893;2101;1;10,49;15,5;183,6005901;2649,96036;23;no
Corly;Female;59;4267;72763;2;8,99;12;3050,105872;79360,20792;45;no
Teddi;Female;18;3883;3272;4;10,49;12,5;75,31531438;3929,017478;29;no
Minnaminnie;Female;50;8922;28893;4;9,75;11,76;610,157707;31791,09788;79;yes
Leonie;Female;39;7495;102707;5;8,99;11;1721,344318;112208,895;80;yes
Aylmar;Male;59;3999;50704;3;8,99;11;1418,952882;55470,28383;47;no
Caspar;Male;20;1517;115899;5;8,99;11;1941,539926;126573,5987;50;no
Tracey;Male;39;5829;116642;4;8,99;11;2441,584424;127252,9014;49;no
Hatty;Female;29;7626;103377;1;8,99;14;8685,808927;112478,4903;73;yes
Cynthia;Female;47;2278;101000;5;8,99;11;1692,851754;110350,1511;50;no
Alfredo;Male;47;11311;31258;1;9,75;14,76;2632,82703;34266,70532;83;yes
Hollis;Male;55;11510;31511;4;9,75;11,76;664,8099368;34638,00506;89;yes
Hazel;Male;41;10510;69439;5;8,99;11;1166,048119;75983,53383;100;yes
Fairleigh;Male;30;10284;113625;4;8,99;11;2378,612757;123971,0609;99;yes
Kary;Female;45;9957;65037;2;8,99;12;2726,987859;70973,1866;85;yes
Merissa;Female;53;11050;113330;3;8,99;11;3162,897367;123524,1027;97;yes
Breena;Female;57;5287;74437;2;8,99;12;3120,116169;81177,43206;45;no
Giffy;Male;33;2925;93552;5;8,99;11;1568,532706;102240,0606;50;no
Mina;Female;35;3462;90764;5;8,99;11;1521,996521;99204,22117;50;no
Davis;Male;18;10897;68702;1;8,99;14;5774,738771;74875,3363;93;yes
Jo-anne;Female;29;3895;52096;2;8,99;12;2185,767279;56924,98016;45;no
Mikey;Male;23;2124;68174;5;8,99;11;1144,933243;74606,08157;50;no
Cesaro;Male;48;9597;17827;2;10,49;13,5;753,0241566;19718,44606;65;yes
Roselia;Female;47;7726;51714;2;8,99;12;2169,791213;56510,297;75;yes
Riva;Female;42;6426;17943;1;10,49;15,5;1515,207705;19827,22903;53;no
Andros;Male;36;6439;37055;4;9,75;11,76;780,5440706;40666,74968;69;yes
Zak;Male;31;8923;15318;3;10,49;12,5;433,7362574;17010,1816;67;yes
Timi;Female;27;9737;70861;4;8,99;11;1486,030597;77453,1206;89;yes
Iver;Male;43;11592;97029;5;8,99;11;1626,569405;106026,1488;100;yes
Gretel;Female;24;1838;71802;3;8,99;11;2006,468303;78396,8554;47;no
Sawyere;Male;22;8328;52090;5;8,99;11;876,4655236;57092,29329;90;yes
Shani;Female;60;11316;52534;2;8,99;12;2204,085385;57400,45458;95;yes
Phylis;Female;54;4317;53005;4;8,99;11;1113,335174;58029,67232;49;no
Gearalt;Male;44;8107;60273;1;8,99;14;5067,098963;65734,54366;83;yes
Hobard;Male;35;10414;46402;1;9,75;14,76;3904,99814;50688,23763;83;yes
Billi;Female;23;6396;82589;5;8,99;11;1385,542679;90302,50399;80;yes
Poul;Male;21;8785;106964;5;8,99;11;1792,400466;116844,3213;90;yes
